vm.ee;2015-05-15;8,971816283924843;8,970772442588727;10,0;10,0;10,0;9,931106471816284;7,582463465553236;7,555323590814196;10,0;9,995824634655532;8,971816283924843;8,782881002087683;8,781837160751566;8,782881002087683;10,0;10,0;10,0;9,939457202505219;7,582463465553236;7,555323590814196;10,0;10,0;9,995824634655532;8,782881002087683;8,671189979123174;8,669102296450939;9,992693110647181;8,671189979123174;10,0;10,0;10,0;9,910229645093946;7,582463465553236;7,555323590814196;10,0;10,0;8,671189979123174;9,995824634655532;8,671189979123174;
sangaste.ee;2015-05-15;4,86905281536447;5,123672341044667;9,995635093845483;10,0;9,07318492652408;9,950531063582133;9,807944129201223;8,529026625927543;9,195402298850574;9,99418012512731;2,7644405645278627;4,86905281536447;5,123672341044667;9,29797759348174;9,995635093845483;10,0;9,07318492652408;9,950531063582133;9,807944129201223;8,529026625927543;10,0;9,195402298850574;9,99418012512731;2,7644405645278627;4,86905281536447;5,1229448566855815;9,29797759348174;9,557689509675543;9,995635093845483;10,0;9,807944129201223;9,950531063582133;9,807944129201223;8,529026625927543;10,0;9,195402298850574;9,592608758911684;9,99418012512731;2,7644405645278627;
ravimiamet.ee;2015-05-15;2,370583401807724;5,016433853738702;10,0;10,0;10,0;2,2596548890714874;9,967132292522596;9,967132292522596;10,0;9,983566146261298;2,288414133114215;2,370583401807724;5,016433853738702;6,055875102711586;10,0;10,0;10,0;2,2596548890714874;9,967132292522596;9,967132292522596;10,0;10,0;9,983566146261298;2,288414133114215;2,370583401807724;4,737058340180773;6,86113393590797;6,064092029580936;10,0;10,0;10,0;2,2596548890714874;9,967132292522596;9,967132292522596;10,0;10,0;5,57518488085456;9,983566146261298;2,288414133114215;
ruhnu.ee;2015-05-15;4,849056603773585;5,7924528301886795;10,0;9,924528301886792;10,0;10,0;8,415094339622641;0,1509433962264151;10,0;10,0;1,8867924528301887;4,849056603773585;5,7924528301886795;9,679245283018869;10,0;9,924528301886792;10,0;10,0;8,415094339622641;0,1509433962264151;10,0;10,0;10,0;1,8867924528301887;4,849056603773585;5,7924528301886795;9,679245283018869;10,0;10,0;9,924528301886792;10,0;10,0;8,415094339622641;0,1509433962264151;10,0;10,0;9,88679245283019;10,0;1,8867924528301887;
puka.ee;2015-05-15;9,698216735253773;5,0;9,99485596707819;10,0;10,0;9,67764060356653;10,0;0,0;10,0;9,914266117969822;5,87962962962963;9,698216735253773;5,0;5,0;9,99485596707819;10,0;10,0;9,67764060356653;10,0;0,0;9,104938271604938;10,0;9,914266117969822;5,87962962962963;9,698216735253773;5,0;5,0;0,0051440329218107;9,99485596707819;10,0;10,0;9,67764060356653;10,0;0,0;9,104938271604938;10,0;7,72119341563786;9,914266117969822;5,87962962962963;
eestipank.ee;2015-05-15;10,0;10,0;10,0;10,0;10,0;10,0;10,0;0,0;10,0;10,0;10,0;10,0;10,0;10,0;10,0;10,0;10,0;10,0;10,0;0,0;10,0;10,0;10,0;10,0;10,0;10,0;10,0;10,0;10,0;10,0;10,0;10,0;10,0;0,0;10,0;10,0;10,0;10,0;10,0;
politsei.ee;2015-05-15;10,0;10,0;10,0;10,0;10,0;10,0;0,0;0,0;10,0;10,0;10,0;10,0;10,0;10,0;10,0;10,0;10,0;10,0;0,0;0,0;10,0;10,0;10,0;10,0;10,0;10,0;10,0;10,0;10,0;10,0;10,0;10,0;0,0;0,0;10,0;10,0;10,0;10,0;10,0;
otepaa.ee;2015-05-15;6,386861313868613;5,218978102189781;10,0;10,0;10,0;9,927007299270073;9,927007299270073;9,343065693430656;3,3576642335766422;10,0;6,569343065693431;6,386861313868613;5,218978102189781;6,788321167883212;10,0;10,0;10,0;9,927007299270073;9,927007299270073;9,343065693430656;10,0;3,3576642335766422;10,0;6,569343065693431;6,386861313868613;5,218978102189781;6,788321167883212;6,788321167883212;10,0;10,0;10,0;9,927007299270073;9,927007299270073;9,343065693430656;10,0;3,3576642335766422;6,788321167883212;10,0;6,569343065693431;
moisakyla.ee;2015-05-15;5,5;5,5;10,0;10,0;10,0;6,333333333333333;10,0;0,0;10,0;1,0;1,0;5,5;5,5;5,5;10,0;10,0;10,0;6,333333333333333;10,0;0,0;10,0;10,0;1,0;1,0;5,5;5,5;5,5;5,5;10,0;10,0;10,0;6,333333333333333;10,0;0,0;10,0;10,0;5,5;1,0;1,0;
vandra.ee;2015-05-15;2,5;7,5;10,0;7,5;10,0;10,0;5,0;5,0;10,0;10,0;7,5;2,5;7,5;5,0;10,0;7,5;10,0;10,0;5,0;5,0;10,0;10,0;10,0;7,5;2,5;7,5;5,0;7,5;10,0;7,5;10,0;10,0;5,0;5,0;10,0;10,0;7,5;10,0;7,5;
muinas.ee;2015-05-15;4,090909090909091;5,0;10,0;10,0;10,0;10,0;10,0;10,0;0,0;7,2727272727272725;0,45454545454545453;4,090909090909091;5,0;9,545454545454545;10,0;10,0;10,0;10,0;10,0;10,0;10,0;0,0;7,2727272727272725;0,45454545454545453;4,090909090909091;5,0;9,545454545454545;10,0;10,0;10,0;10,0;10,0;10,0;10,0;10,0;0,0;6,363636363636363;7,2727272727272725;0,45454545454545453;
pria.ee;2015-05-15;10,0;5,0;10,0;5,0;10,0;10,0;10,0;0,0;10,0;0,0;5,0;10,0;5,0;5,0;10,0;5,0;10,0;10,0;10,0;0,0;10,0;10,0;0,0;5,0;10,0;5,0;10,0;5,0;10,0;5,0;10,0;10,0;10,0;0,0;10,0;10,0;5,0;0,0;5,0;
