vm.ee;16244;AAA
ruhnu.ee;481;AAA
sangaste.ee;22702;AAA
ravimiamet.ee;2507;AAA
puka.ee;5447;AAA
eestipank.ee;7;AAA
politsei.ee;15;AAA
otepaa.ee;268;AAA
moisakyla.ee;45;AAA
muinas.ee;22;-
tallinn.ee;11;AAA
pria.ee;12;AAA
aserivv.ee;2;AAA
vandra.ee;3;AAA
aku.ee;37;AAA
voru.ee;452;AAA
vonnu.ee;1;AAA
meeksi.ee;202;-
uus.saue.ee;5709;AAA
vormsi.ee;359;AAA
rakke.ee;278;AAA
veriora.ee;302;AAA
vaivara.ee;1303;AAA
raikkyla.ee;1366;AAA
luunja.ee;189;AAA
kadriorg.ee;50;AAA
tostamaa.ee;8;AAA
rannu.ee;486;AAA
iisaku.ee;544;AAA
paldiski.ee;66;AAA
ambla.ee;648;AAA
muhu.ee;120;AAA
vandravald.ee;288;AAA
varstu.ee;937;AAA
helme.ee;253;AAA
kihnu.ee;582;AAA
vald.koo.ee;2;AAA
illuka.ee;2;AAA
kohtla-jarve.ee;4;AAA
kuusalu.ee;2;A
sonda.ee;2;AAA
pihtlavv.ee;1;AAA
konguta.ee;1;AAA
